equation_balance,relative_equation_balance,case,p,n,dofs,L2,H1_seminorm,L2_order,H1_order,relative_residual,boundary_error
0.16025038933814706,0.012917043074832489,poisson,1,8,9,0.009920919911464219,0.25118176937634573,0.0,0.0,3.508322150859691e-16,0.0
0.04029500266347785,0.003216889623902167,poisson,1,16,17,0.002486501339423117,0.12583315847452256,1.9963566915750521,0.9972196191430988,4.437003884925955e-16,0.0
0.010088326087758226,0.0008034484934431225,poisson,1,32,33,0.0006220177931487451,0.06294690520026242,1.9990894531734018,0.9993047845850752,7.381451027233673e-16,0.0
0.0025229932701558155,0.00020081374322949053,poisson,1,64,65,0.00015552898473113444,0.031477244650697574,1.9997723807004606,0.9998261886589844,1.1474125421283376e-15,0.0
0.07950601624612119,0.006287109906932223,poisson,2,8,17,0.00024567954436600535,0.012738889572199751,0.0,0.0,5.829791500899548e-16,0.0
0.020108642460772153,0.0015976383904082118,poisson,2,16,33,3.076327851828046e-05,0.003189989190296531,2.9974965736601353,1.997616085402895,1.2551054780774604e-15,0.0
0.005041731855537357,0.0004010473697536013,poisson,2,32,65,3.8470781018411995e-06,0.0007978267936347039,2.9993742389909492,1.9994040554618873,1.6869096736620524e-15,0.0
0.0012613446485607582,0.00010036454382774163,poisson,2,64,129,4.809369067488246e-07,0.00019947729693417648,2.9998435720058825,1.9998510160028349,2.318373656753725e-15,0.0
0.23313656158705598,0.00798605823571685,variable,1,8,9,0.007937459012881395,0.251375974212469,0.0,0.0,2.1817982957953687e-16,0.0
0.05943646516816514,0.002023944658211591,variable,1,16,17,0.0019837285711477295,0.12585785839523755,2.00046259835851,0.9980514684867875,5.021615154349182e-16,0.0
0.015000614784264954,0.0005100327538483966,variable,1,32,33,0.0004958924755793426,0.06295000572817475,2.000115398796615,0.9995168849114537,8.573804569417241e-16,0.0
0.00376763029587579,0.00012805349914556363,variable,1,64,65,0.00012397064129324235,0.03147763262242742,2.0000288325346793,0.9998794668630214,1.2313845231121946e-15,0.0
0.11702258743200034,0.0039610795629402154,variable,2,8,17,0.00024576037183728864,0.012748943793290878,0.0,0.0,6.227934479312296e-16,0.0
0.029863848440337293,0.00101384788965864,variable,2,16,33,3.076581910565632e-05,0.003190619965693197,2.997851995670808,1.9984690448945124,1.1783199467247935e-15,0.0
0.007524133859607929,0.0002556307184921697,variable,2,32,65,3.847157613203835e-06,0.0007978662548011783,2.9994635618409413,1.9996179447561855,1.809878227648836e-15,0.0
0.0018871469982695288,6.412766694552508e-05,variable,2,64,129,4.80939392351153e-07,0.00019947976384816914,2.999865933111159,1.9999045295741829,2.3891642964725812e-15,0.0
0.40598539600046024,0.008840873336377994,reverse,1,8,9,0.008709416005602103,0.25122603194407606,0.0,0.0,4.199008398429032e-16,0.0
0.1013576052112537,0.002192651661656841,reverse,1,16,17,0.002176226628711433,0.125838895284425,2.000747180384299,0.9974080526980608,7.624711644366638e-16,0.0
0.025295057472050075,0.0005463047169214462,reverse,1,32,33,0.000543985722255857,0.06294762869956415,2.0001881130041927,0.9993539744697462,1.2961324242605987e-15,0.0
0.006316554663827745,0.00013636457545967106,reverse,1,64,65,0.00013599198987412857,0.03147733528822324,2.0000471090732046,0.999838616436305,1.214352193771762e-15,0.0
0.19975533913956056,0.004293306660453742,reverse,2,8,17,0.0002452927499717672,0.012740416513716254,0.0,0.0,1.2153904896890195e-15,0.0
0.05039732699464139,0.0010866693032622722,reverse,2,16,33,3.075123142725745e-05,0.0031900848166062073,2.9957885041433427,1.9977457560372591,1.2611658505042179e-15,0.0
0.012620096451792406,0.0002723368883949882,reverse,2,32,65,3.8467019465679915e-06,0.0007978327732223432,2.9989502291058336,1.9994364897503438,1.8926230594203736e-15,0.0
0.003155333453085163,6.81048076753449e-05,reverse,2,64,129,4.809251591117524e-07,0.00019947767070460743,2.9997377434129686,1.9998591254909108,2.8072904743711842e-15,0.0
0.39203482343485163,0.010398398497875936,cubic,1,8,9,0.008760087265845585,0.25121879717451506,0.0,0.0,2.6855549524934975e-16,0.0
0.09956531915303124,0.002619469845654905,cubic,1,16,17,0.002194362367058238,0.12583782113146502,1.9971434561368204,0.9973788203920021,7.379348578146702e-16,0.0
0.025068542232405733,0.0006582144253176181,cubic,1,32,33,0.0005488600523291259,0.06294748915721282,1.999291540936042,0.9993448578333294,1.168691692175441e-15,0.0
0.00628810330530527,0.00016502022509138337,cubic,1,64,65,0.00013723182670945843,0.03147731768089409,1.9998232303451096,0.9998362252590652,1.655336658158278e-15,0.0
0.19559125343737804,0.005106282265102827,cubic,2,8,17,0.00024594056695838215,0.012741061164401721,0.0,0.0,7.797647192967307e-16,0.0
0.049849752504757205,0.0013062627576446403,cubic,2,16,33,3.0771414339482355e-05,0.003190126732423471,2.998647061035501,1.9977997968997654,1.3613663822736953e-15,0.0
0.012550274397762351,0.0003291948898061217,cubic,2,32,65,3.8473321881917385e-06,0.0007978354180664208,2.9996604494689314,1.9994506632030873,1.8248544845609595e-15,0.0
0.0031465304102038516,8.255431257171318e-05,cubic,2,64,129,4.80944850187508e-07,0.00019947783639795942,2.9999150257237814,1.9998627097143942,1.9684198413427018e-15,0.0
