dim,steps,dt,L2,H1,order,max_residual,max_boundary
1,5,0.1,0.009730651390972879,0.031155097697106716,0.0,4.151520708435103e-16,0.0
1,10,0.05,0.00496405075581206,0.015891294381370578,0.9710185187501947,3.161795064929211e-16,0.0
1,20,0.025,0.0025056226290845474,0.008020759595513856,0.9863487193896995,2.3803788784753603e-16,0.0
1,40,0.0125,0.0012585117119908332,0.00402854758133441,0.9934505046404012,1.4655891580918988e-16,0.0
2,5,0.1,0.006607325704993373,0.03041993889720568,0.0,1.948261066610312e-16,0.0
2,10,0.05,0.003360089991606666,0.015468673714879448,0.9755665909374114,1.2423956919093035e-16,0.0
2,20,0.025,0.0016932627846633166,0.007795278722443123,0.9886939839027217,5.892269685425879e-17,0.0
2,40,0.0125,0.000849826523978441,0.0039124169455071345,0.9945656111030431,3.307014574516129e-17,0.0
3,5,0.1,0.005138461843680309,0.029576896396105768,0.0,4.9744803452543017e-17,0.0
3,10,0.05,0.0026106221613049602,0.01502677136325019,0.9769428954849314,2.6820740934632228e-17,0.0
3,20,0.025,0.0013153053277917407,0.0075712657324401526,0.9889959319170023,1.5194927592032683e-17,0.0
3,40,0.0125,0.0006601267996576207,0.003799992567679383,0.9945826632045953,8.999066088744611e-18,0.0
